Name,Comp,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Type,MaxSep,RAdeg,DEdeg,rpos,Author,Date,BibCode,Author2,Date2,BibCode2,RApdeg,DEpdeg,RAcdeg,DEcdeg,zsource,zdef,r_zsource,zmilli,f_zmilli,r_zmilli,zqsocdr3,f_zqsocdr3,zSHSRC,f_zSHSRC,r_zSHSRC,inFPR,GLens,CompId,nObsComp,RACodeg,e_RACodeg,DECodeg,e_DECodeg,GmagComp,e_GmagComp,f_GLens,f_CompId,inDR3,GaiaDR3,RAGdeg,e_RAGdeg,DEGdeg,e_DEGdeg,plx,e_plx,Rplx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,E(BP/RP),BP-RP,Gmagc,e_Gmagc,inAllWISE,AllWISE,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag
J0011-0845,B,00,11,20.2453,-,08,45,50.673,Double,1.891000,2.83435536150,-8.76407585630,Gaia_DR3,Lemon,2018,2018MNRAS.479.5060L,,---,,2.83421500000,-8.76419220000,2.83448385600,-8.76430582485,1.7000,---,2018MNRAS.479.5060L / https://doi.org/10.5281/zenodo.12728524,---,,,---,--,---,,,1,DR3Gaia001120.307-084552.33,1,25,0.04946880547,53.65134,-0.15296202061,52.40909,20.3888,0.17651,0,0,1,2429242023835943040,2.83435559906,0.6640,-8.76407570490,0.6581,1.1607,0.8177,1.4194,1.183,0.356,1.064,1.128,0.811,20.433130,0.010305,20.418327,0.172678,19.301289,0.112225,1.929,1.117039,20.435863,0.010329,0,,---,---,---,---,---,---,---,---
J0011-0845,G,00,11,20.2763,-,08,45,51.913,Double,1.891000,2.83448465000,-8.76442030000,Publication,Lemon,2018,2018MNRAS.479.5060L,,---,,2.83435000000,-8.76407000000,2.83448385600,-8.76430582485,---,0.5489,2018MNRAS.479.5060L / https://doi.org/10.5281/zenodo.12728524,1.700,jG,LEMON,---,--,0.54892000,,VizieR_J/A+A/683/A112/lqac6,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,J001120.26-084551.6,15.190,14.455,11.519,8.348,0.039,0.059,0.223,0.335
J0011-0845,A,00,11,20.3070,-,08,45,52.329,Double,1.891000,2.83461235050,-8.76453579340,Gaia_DR3,Lemon,2018,2018MNRAS.479.5060L,,---,,2.83447920000,-8.76372560000,2.83448385600,-8.76430582485,1.7000,0.5489,2018MNRAS.479.5060L / https://doi.org/10.5281/zenodo.12728524,1.700,jG,LEMON,---,--,0.54892000,,VizieR_J/A+A/683/A112/lqac6,1,DR3Gaia001120.307-084552.33,2,26,0.04947324042,58.02300,-0.15297005334,65.76938,20.4237,0.18969,0,0,1,2429242023833003648,2.83461232014,0.7249,-8.76453582431,0.7045,0.7823,0.9907,0.7896,0.264,-0.257,1.138,-0.061,0.828,20.408050,0.012155,19.861464,0.084048,19.210278,0.084405,2.468,0.651186,20.411527,0.012192,0,,---,---,---,---,---,---,---,---
J0013+5119,G,00,13,23.5388,+,51,19,05.863,Double,2.924000,3.34807822420,51.31829540060,Gaia_DR3,Lemon,2019,2019MNRAS.483.4242L,,---,,3.34808000000,51.31822000000,3.34826307050,51.31834595290,---,---,2019MNRAS.483.4242L,---,,,---,--,---,,,1,DR3Gaia001323.545+511904.63,3,18,0.05843498306,77.12591,0.89567316571,58.75278,20.6276,0.14748,0,0,1,395754916769802240,3.34808000528,5.4450,51.31829386137,4.6667,---,---,---,---,---,---,---,---,21.435495,0.021039,19.942509,0.160887,18.633205,0.057977,8.429,1.309303,21.435495,0.021039,1,J001323.55+511905.7,14.677,13.920,11.307,8.426,0.031,0.034,0.120,0.211
J0013+5119,A,00,13,23.5455,+,51,19,04.627,Double,2.924000,3.34810645630,51.31795187980,Gaia_DR3,Lemon,2019,2019MNRAS.483.4242L,,---,,3.34808000000,51.31822000000,3.34826307050,51.31834595290,2.6300,---,2019MNRAS.483.4242L,---,,,---,--,---,,,1,DR3Gaia001323.545+511904.63,2,34,0.05843547997,73.82030,0.89566728183,67.52496,20.6121,0.16870,0,0,1,395754921063313024,3.34810605777,1.2557,51.31795212826,0.8071,-2.3473,1.7139,-1.3696,1.692,1.420,1.456,-0.921,0.946,20.797949,0.011241,20.456110,0.142955,18.911915,0.120726,3.385,1.544195,20.796264,0.011224,0,,---,---,---,---,---,---,---,---
J0013+5119,B,00,13,23.6207,+,51,19,07.464,Double,2.924000,3.34841968470,51.31874002600,Gaia_DR3,Lemon,2019,2019MNRAS.483.4242L,,---,,3.34808000000,51.31822000000,3.34826307050,51.31834595290,2.6300,---,2019MNRAS.483.4242L,---,,,---,--,---,,,1,DR3Gaia001323.545+511904.63,1,67,0.05844099938,69.64013,0.89568093609,69.92638,20.4506,0.14291,0,0,1,395754921063313152,3.34841938311,0.4218,51.31874055031,0.4631,0.3682,0.6865,0.5363,0.206,-0.024,0.555,-0.205,0.598,20.528290,0.006681,20.540413,0.079473,19.129456,0.046829,2.244,1.410957,20.528283,0.006681,0,,---,---,---,---,---,---,---,---
A2744-QSO1,A,00,14,19.1618,-,30,24,05.645,Triple,59.903000,3.57984080000,-30.40156810000,Publication,Furtak,2025,2025A&A...698A.227F,,---,,3.57984080000,-30.40156810000,3.58686816667,-30.39752890000,7.0450,---,2025A&A...698A.227F,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,,---,---,---,---,---,---,---,---
A2744-QSO1,B,00,14,20.0511,-,30,23,48.042,Triple,59.903000,3.58354620000,-30.39667830000,Publication,Furtak,2025,2025A&A...698A.227F,,---,,3.58354620000,-30.39667830000,3.58686816667,-30.39752890000,7.0450,---,2025A&A...698A.227F,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,,---,---,---,---,---,---,---,---
A2744-QSO1,C,00,14,23.3322,-,30,23,39.625,Triple,59.903000,3.59721750000,-30.39434030000,Publication,Furtak,2025,2025A&A...698A.227F,,---,,3.59721750000,-30.39434030000,3.58686816667,-30.39752890000,7.0450,---,2025A&A...698A.227F,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,,---,---,---,---,---,---,---,---
HE0013-2542,B,00,15,43.9176,-,25,26,17.987,Double,0.357000,3.93299004500,-25.43832967889,Publication,Shajib,2021,2021MNRAS.503.1557S,Scialpi,2024,2024A&A...690A..57S,3.93292000000,-25.43806000000,3.93301672745,-25.43828630244,0.9690,---,2024A&A...690A..57S,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,J001543.91-252617.8,12.191,10.895,8.443,6.522,0.022,0.020,0.024,0.082
HE0013-2542,A,00,15,43.9304,-,25,26,17.675,Double,0.357000,3.93304340990,-25.43824292600,Gaia_DR3,Shajib,2021,2021MNRAS.503.1557S,Scialpi,2024,2024A&A...690A..57S,3.93292000000,-25.43806000000,3.93301672745,-25.43828630244,0.9690,---,2024A&A...690A..57S,---,,,---,--,---,,,1,DR3Gaia001543.928-252617.67,1,44,0.06864416546,89.13346,-0.44398177852,140.31155,16.5103,0.35275,0,1,1,2335753268837859712,3.93303517011,0.8407,-25.43824185589,0.7764,---,---,---,---,---,---,---,---,16.264776,0.019312,16.003942,0.009837,15.582703,0.009639,1.711,0.421240,16.264776,0.019312,0,,---,---,---,---,---,---,---,---
J0028+0631,A,00,28,22.4856,+,06,31,55.043,Double,2.816000,7.09369019760,6.53195634010,Gaia_DR3,Lemon,2018,2018MNRAS.479.5060L,,---,,7.09381290000,6.53253060000,7.09378511335,6.53157674410,1.0600,---,2018MNRAS.479.5060L,1.067,gG,LAMQ3,1.054711,0,1.06828400,KEEP(0),EXTERNAL_SDSSDR18_BOSS,1,DR3Gaia002822.486+063155.04,1,39,0.12380836703,53.20163,0.11400414879,42.88296,19.0705,0.14012,0,0,1,2747816172132314624,7.09369016395,0.2208,6.53195639341,0.1537,-0.0992,0.2704,-0.3671,0.635,-0.600,0.345,0.206,0.225,18.992079,0.008895,19.204454,0.044079,18.606743,0.061849,1.197,0.597712,18.992079,0.008895,0,,---,---,---,---,---,---,---,---
J0028+0631,G,00,28,22.5000,+,06,31,53.400,Double,2.816000,7.09375000000,6.53150000000,Publication,Lemon,2018,2018MNRAS.479.5060L,,---,,7.09375000000,6.53150000000,7.09378511335,6.53157674410,---,---,2018MNRAS.479.5060L,1.067,gG,LAMQ3,---,--,1.06828400,KEEP(0),EXTERNAL_SDSSDR18_BOSS,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,J002822.50+063153.8,14.160,13.363,10.958,8.691,0.029,0.033,0.126,0.433
